"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 03 20:38:10 UTC 2026","Sun May 03 20:38:10 UTC 2026","443","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","getLaunchesWithInvalidTokenTest","Get launches list with invalid token",""
"passed","Sun May 03 20:38:24 UTC 2026","Sun May 03 20:38:36 UTC 2026","12335","ReportPortalSuite","UI Tests","tests.ui.LaunchesTest","tests.ui.LaunchesTest","latestLaunchesTabShouldShowLatestLaunchFromApi","Latest launches tab shows latest launch from API",""
"passed","Sun May 03 20:38:03 UTC 2026","Sun May 03 20:38:07 UTC 2026","4037","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","createLaunchTest","Create launch via API",""
"passed","Sun May 03 20:38:13 UTC 2026","Sun May 03 20:38:15 UTC 2026","2664","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","updateLaunchTest","Update launch via API",""
"passed","Sun May 03 20:38:07 UTC 2026","Sun May 03 20:38:09 UTC 2026","2242","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","deleteLaunchTest","Delete launch via API",""
"passed","Sun May 03 20:38:09 UTC 2026","Sun May 03 20:38:10 UTC 2026","446","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","getLaunchesWithInvalidProjectNameTest","Get launches list with invalid project name",""
"passed","Sun May 03 20:38:10 UTC 2026","Sun May 03 20:38:13 UTC 2026","2270","ReportPortalSuite","API Tests","tests.api.LaunchesCrudApiTest","tests.api.LaunchesCrudApiTest","readLaunchTest","Read launch by id via API",""
"passed","Sun May 03 20:38:48 UTC 2026","Sun May 03 20:38:57 UTC 2026","9053","ReportPortalSuite","UI Tests","tests.ui.LaunchesTest","tests.ui.LaunchesTest","launchesSearchShouldFindPreparedLaunch","Search on launches page finds launch prepared by API",""
"passed","Sun May 03 20:38:57 UTC 2026","Sun May 03 20:39:04 UTC 2026","6980","ReportPortalSuite","UI Tests","tests.ui.LaunchesTest","tests.ui.LaunchesTest","shouldAddWidgetOnDashboard","Widget can be added on dashboard",""
"passed","Sun May 03 20:38:36 UTC 2026","Sun May 03 20:38:47 UTC 2026","11030","ReportPortalSuite","UI Tests","tests.ui.LaunchesTest","tests.ui.LaunchesTest","launchAttributeShouldBeVisible","Launch with test:test attribute is displayed in UI",""
